Chr	Start	End	Cytoband	Gene	RefSeqName
1	63063157.0	63071976.0	p31.3	ANGPTL3	NM_014495
1	11249345.0	11256038.0	p36.22	ANGPTL7	NM_021146
1	70724684.0	70820417.0	p31.1	ANKRD13C	NM_030816
1	114436816.0	114447746.0	p13.2	AP4B1	NM_001253853
1	114355233.0	114443859.0	p13.2	AP4B1-AS1	NR_125965
1	94634462.0	94713316.0	p22.1	ARHGAP29	NM_001328664
1	17866329.0	18024370.0	p36.13	ARHGEF10L	NM_018125
1	3371146.0	3397677.0	p36.32	ARHGEF16	NM_014448
1	16524348.0	16539166.0	p36.13	ARHGEF19	NM_153213
1	27022523.0	27108601.0	p36.11	ARID1A	NM_006015
1	44398991.0	44402912.0	p34.1	ARTN	NM_001136215
1	23755055.0	23810750.0	p36.12	ASAP3	NM_017707
1	76384557.0	76398116.0	p31.1	ASB17	NR_026546
1	63249776.0	63330941.0	p31.3	ATG4C	NM_032852
1	17312452.0	17338467.0	p36.13	ATP13A2	NM_001141974
1	116915794.0	116947396.0	p13.1	ATP1A1	NM_000701
1	116935486.0	116961244.0	p13.1	ATP1A1-AS1	NR_027646
1	28562601.0	28564616.0	p35.3	ATP5IF1	NM_178191
1	111991742.0	112004525.0	p13.2	ATP5PB	NM_001688
1	44440319.0	44443972.0	p34.1	ATP6V0B	NM_004047
1	47100710.0	47134099.0	p33	ATPAF1	NM_022745
1	110026526.0	110035420.0	p13.3	ATXN7L2	NM_001350177
1	26158403.0	26185949.0	p36.11	AUNIP	NM_001287490
1	33546713.0	33586132.0	p35.1	AZIN2	NM_052998
1	44444873.0	44456843.0	p34.1	B4GALT2	NM_003780
1	91177578.0	91182794.0	p22.2	BARHL2	NM_020063
1	94027342.0	94312706.0	p22.1	BCAR3	NM_001261408
1	115110180.0	115124265.0	p13.2	BCAS2	NM_005872
1	85731459.0	85742587.0	p22.3	BCL10	NM_003921
1	114419435.0	114430169.0	p13.2	BCL2L15	NM_001010922
1	49193194.0	49242641.0	p33	BEND5	NR_146232
1	45249256.0	45253426.0	p34.1	BEST4	NM_153274
1	39957317.0	39995541.0	p34.3	BMP8A	NM_181809
1	40222853.0	40254533.0	p34.2	BMP8B	NM_001720
1	92414927.0	92479985.0	p22.1	BRDT	NM_001242810
1	32830233.0	32860062.0	p35.1	BSDC1	NR_125352
1	55464616.0	55474465.0	p32.3	BSND	NM_057176
1	45274153.0	45279801.0	p34.1	BTBD19	NM_001136537
1	92545861.0	92613401.0	p22.1	BTBD8	NM_183242
1	52521856.0	52556388.0	p32.3	BTF3L4	NM_001243767
1	22962998.0	22966175.0	p36.12	C1QA	NM_015991
1	22979473.0	22988129.0	p36.12	C1QB	NM_000491
1	22970109.0	22974604.0	p36.12	C1QC	NM_172369
1	38147241.0	38157946.0	p34.3	C1orf109	NM_001350765
1	38273472.0	38275126.0	p34.3	C1orf122	NM_198446
1	53679771.0	53686311.0	p32.3	C1orf123	NM_017887
1	11006529.0	11042094.0	p36.22	C1orf127	NM_001170754
1	117236733.0	117249225.0	p13.1	C1orf137	NR_149353
1	67557858.0	67600654.0	p31.3	C1orf141	NR_075077
1	92683572.0	92711367.0	p22.1	C1orf146	NM_001012425
1	12806133.0	12821102.0	p36.21	C1orf158	NM_152290
1	112016490.0	112021134.0	p13.2	C1orf162	NM_174896
1	11822249.0	11849642.0	p36.22	C1orf167	NM_001010881
1	3805696.0	3816857.0	p36.32	C1orf174	NM_207356
1	51567899.0	51613757.0	p32.3	C1orf185	NM_001136508
1	109648572.0	109656479.0	p13.3	C1orf194	NM_001122961
1	15490691.0	15498120.0	p36.21	C1orf195	NM_001278502
1	43747555.0	43751288.0	p34.2	C1orf210	NM_001164829
1	36179476.0	36184790.0	p34.3	C1orf216	NM_152374
1	45140393.0	45191263.0	p34.1	C1orf228	NM_001145636
1	43232915.0	43241413.0	p34.2	C1orf50	NM_024097
1	85715636.0	85725355.0	p22.3	C1orf52	NR_024113
1	60456065.0	60539442.0	p32.1	C1orf87	NM_152377
1	34632483.0	34684731.0	p34.3	C1orf94	NM_032884
1	57320442.0	57383894.0	p32.2	C8A	NM_000562
1	57394882.0	57431813.0	p32.2	C8B	NM_001278544
1	9005892.0	9035148.0	p36.23	CA6	NM_001270501
1	64936475.0	65158741.0	p31.3	CACHD1	NM_020925
1	20808883.0	20812728.0	p36.12	CAMK2N1	NM_018584
1	6845383.0	7829766.0	p36.23	CAMTA1	NM_001349610
1	6843951.0	6845040.0	p36.31	CAMTA1-DT	NR_149049
1	40505736.0	40538321.0	p34.2	CAP1	NM_001350479
1	113162074.0	113214241.0	p13.2	CAPZA1	NM_006135
1	19665266.0	19812135.0	p36.13	CAPZB	NM_004930
1	15817895.0	15851285.0	p36.21	CASP9	NM_032996
1	116242625.0	116311426.0	p13.1	CASQ2	NM_001232
1	10696665.0	10856733.0	p36.22	CASZ1	NM_001079843
1	26517118.0	26529033.0	p36.11	CATSPER4	NM_198137
1	52816264.0	52831877.0	p32.3	CC2D1B	NM_001330585
1	45959534.0	45965751.0	p34.1	CCDC163	NR_033297
1	46085715.0	46089731.0	p34.1	CCDC17	NM_001114938
1	93646272.0	93744287.0	p22.1	CCDC18	NM_206886
1	93775665.0	93811368.0	p22.1	CCDC18-AS1	NR_034089
1	44457267.0	44462198.0	p34.1	CCDC24	NM_001349127
1	3668964.0	3688209.0	p36.32	CCDC27	NM_152492
1	32665986.0	32670991.0	p35.1	CCDC28B	NM_001301011
1	42921740.0	43119861.0	p34.2	CCDC30	NM_001355226
1	117544371.0	117579173.0	p13.1	CD101	NM_004258
1	27705665.0	27709823.0	p36.11	CD164L2	NM_207397
1	117297051.0	117311851.0	p13.1	CD2	NM_001328609
1	26644410.0	26647014.0	p36.11	CD52	NM_001803
1	111413820.0	111442558.0	p13.3	CD53	NM_001040033
1	117057155.0	117113715.0	p13.1	CD58	NR_026665
1	20915443.0	20945400.0	p36.12	CDA	NM_001785
1	100818022.0	100985833.0	p21.2	CDC14A	NM_001319210
1	43824625.0	43828873.0	p34.2	CDC20	NM_001255
1	22379119.0	22419436.0	p36.12	CDC42	NM_001791
1	91966403.0	91991321.0	p22.2	CDC7	NM_003503
1	38158072.0	38175391.0	p34.3	CDCA8	NM_001256875
1	54598392.0	54618854.0	p32.3	CDCP2	NM_001353655
1	51434366.0	51440306.0	p32.3	CDKN2C	NM_001262
1	15783222.0	15798586.0	p36.21	CELA2A	NM_033440
1	15802595.0	15817895.0	p36.21	CELA2B	NM_015849
1	22328148.0	22339035.0	p36.12	CELA3A	NM_005747
1	22303386.0	22315847.0	p36.12	CELA3B	NM_007352
1	109792640.0	109818378.0	p13.3	CELSR2	NM_001408
1	10490158.0	10502872.0	p36.22	CENPS	NM_199294
1	10490158.0	10512060.0	p36.22	CENPS-CORT	NM_001270517
1	3728644.0	3773797.0	p36.32	CEP104	NM_014704
1	26560643.0	26605301.0	p36.11	CEP85	NM_001319944
1	111682004.0	111727726.0	p13.3	CEPT1	NR_138485
1	43638000.0	43720029.0	p34.2	CFAP57	NM_001195831
1	6161846.0	6240194.0	p36.31	CHD5	NM_015557
1	111770280.0	111786062.0	p13.3	CHI3L2	NM_004000
1	111833473.0	111863188.0	p13.2	CHIA	NM_201653
1	111823145.0	111828730.0	p13.2	CHIAP2	NR_003928
1	41326727.0	41328018.0	p34.2	CITED4	NM_133467
1	86934525.0	86965974.0	p22.3	CLCA1	NM_001285
1	86889565.0	86922240.0	p22.3	CLCA2	NM_006536
1	87099958.0	87121059.0	p22.3	CLCA3P	NR_024604
1	87012758.0	87046432.0	p22.3	CLCA4	NR_024602
1	109472129.0	109506121.0	p13.3	CLCC1	NM_001048210
1	11866152.0	11903201.0	p36.22	CLCN6	NR_046428
1	16348485.0	16360545.0	p36.13	CLCNKA	NM_001257139
1	16370230.0	16383821.0	p36.13	CLCNKB	NM_000085
1	43198763.0	43205925.0	p34.2	CLDN19	NM_001185117
1	25071759.0	25170815.0	p36.11	CLIC4	NM_013943
1	36185818.0	36235551.0	p34.3	CLSPN	NM_001330490
1	9789078.0	9884584.0	p36.22	CLSTN1	NM_014944
1	47799468.0	47844511.0	p33	CMPK1	NM_001136140
1	26503980.0	26516376.0	p36.11	CNKSR1	NM_001297648
1	95362504.0	95392779.0	p21.3	CNN3	NM_001839
1	24200459.0	24239817.0	p36.11	CNR2	NM_001841
1	53152013.0	53164038.0	p32.3	COA7	NM_023077
1	103342022.0	103574052.0	p21.1	COL11A1	NM_080629
1	32117847.0	32169768.0	p35.2	COL16A1	NM_001856
1	86194915.0	86622719.0	p22.3	COL24A1	NR_146340
1	36560836.0	36590685.0	p34.3	COL8A2	NM_005202
1	40766162.0	40782939.0	p34.2	COL9A2	NM_001852
1	10509775.0	10512060.0	p36.22	CORT	NM_001302
1	53662100.0	53679869.0	p32.3	CPT2	NM_001330589
1	17248444.0	17299474.0	p36.13	CROCC	NM_014675
1	16944750.0	16957401.0	p36.13	CROCCP2	NR_026752
1	16793930.0	16819196.0	p36.13	CROCCP3	NR_023386
1	26648349.0	26680621.0	p36.11	CRYBG2	NM_001039775
1	75171171.0	75199092.0	p31.1	CRYZ	NM_001134759
1	115259533.0	115300671.0	p13.2	CSDE1	NM_001242893
1	110453232.0	110473616.0	p13.3	CSF1	NM_172211
1	36931643.0	36948915.0	p34.3	CSF3R	NM_172313
1	33979598.0	34631443.0	p35.1	CSMD2	NM_052896
1	34334556.0	34351059.0	p35.1	CSMD2-AS1	NR_038372
1	85018803.0	85040163.0	p22.3	CTBS	NM_004388
1	70876900.0	70905534.0	p31.1	CTH	NM_001902
1	9908333.0	9970316.0	p36.22	CTNNBIP1	NM_020248
1	41444970.0	41478237.0	p34.2	CTPS1	NR_125440
1	15764937.0	15773153.0	p36.21	CTRC	NM_007272
1	112938799.0	113003786.0	p13.2	CTTNBP2NL	NM_018704
1	110036657.0	110043063.0	p13.3	CYB561D1	NM_001134402
1	54637823.0	54665774.0	p32.3	CYB5RL	NM_001353354
1	111023387.0	111033891.0	p13.3	CYMP	NR_003599
1	111030301.0	111032880.0	p13.3	CYMP-AS1	NR_108042
1	60358979.0	60392470.0	p32.1	CYP2J2	NR_134982
1	47394845.0	47407156.0	p33	CYP4A11	NM_001319155
1	47603096.0	47614526.0	p33	CYP4A22	NM_001010969
1	47264669.0	47285021.0	p33	CYP4B1	NR_135003
1	47427035.0	47516426.0	p33	CYP4X1	NM_001320289
1	47533159.0	47583992.0	p33	CYP4Z1	NM_178134
1	47308766.0	47366147.0	p33	CYP4Z2P	NR_002788
1	86046443.0	86049648.0	p22.3	CYR61	NM_001554
1	57460450.0	58716219.0	p32.2	DAB1	NM_021080
1	58326214.0	58328786.0	p32.2	DAB1-AS1	NR_104362
1	100652477.0	100715409.0	p21.2	DBT	NM_001918
1	32674694.0	32681797.0	p35.1	DCDC2B	NM_001099434
1	114447240.0	114456708.0	p13.2	DCLRE1B	NM_001319947
1	85784167.0	86044046.0	p22.3	DDAH1	NM_001134445
1	15943952.0	15987552.0	p36.21	DDI2	NM_032341
1	20978259.0	20988037.0	p36.12	DDOST	NM_005216
1	112298189.0	112310199.0	p13.2	DDX20	NM_007204
1	115127195.0	115212732.0	p13.2	DENND2C	NM_198459
1	111728590.0	111747160.0	p13.3	DENND2D	NM_001271833
1	68939834.0	68962904.0	p31.2	DEPDC1	NM_017779
1	68962358.0	69004310.0	p31.2	DEPDC1-AS1	NR_110671
1	10520602.0	10532613.0	p36.22	DFFA	NM_004401
1	3773830.0	3801993.0	p36.32	DFFB	NM_004402
1	55315299.0	55352921.0	p32.3	DHCR24	NM_014762
1	26758772.0	26797795.0	p36.11	DHDDS	NM_001243565
1	12627938.0	12677737.0	p36.22	DHRS3	NM_004753
1	54359859.0	54376759.0	p32.3	DIO1	NR_136693
1	68511644.0	68517314.0	p31.3	DIRAS3	NM_004675
1	11539294.0	11597640.0	p36.22	DISP3	NM_020780
1	64014650.0	64016307.0	p31.3	DLEU2L	NR_002771
1	35331036.0	35395186.0	p34.3	DLGAP3	NM_001080418
1	76207686.0	76210698.0	p31.1	DLSTP1	NR_130749
1	44679124.0	44686351.0	p34.1	DMAP1	NM_001034024
1	46972667.0	46979886.0	p33	DMBX1	NM_147192
1	50883222.0	50889119.0	p32.3	DMRTA2	NM_032110
1	53925071.0	53933160.0	p32.3	DMRTB1	NM_033067
1	102337567.0	102360299.0	p21.1	DNAJA1P5	NR_033424
1	78444841.0	78483648.0	p31.1	DNAJB4	NM_001317102
1	6694227.0	6761966.0	p36.31	DNAJC11	NM_018198
1	15853307.0	15898228.0	p36.21	DNAJC16	NR_109898
1	65730376.0	65881552.0	p31.3	DNAJC6	NM_014787
1	28526789.0	28559542.0	p35.3	DNAJC8	NM_014280
1	38022519.0	38032458.0	p34.3	DNALI1	NM_003462
1	84864214.0	84880691.0	p31.1	DNASE2B	NM_021233
1	94335013.0	94344762.0	p22.1	DNTTIP2	NM_014597
1	62920396.0	63154039.0	p31.3	DOCK7	NM_033407
1	44435652.0	44439043.0	p34.1	DPH2	NM_001319171
1	101455179.0	101491362.0	p21.2	DPH5	NM_015958
1	97543299.0	98386615.0	p21.3	DPYD	NM_000110
1	97561478.0	97788511.0	p21.3	DPYD-AS1	NR_046590
1	98262476.0	98263607.0	p21.3	DPYD-AS2	NR_046591
1	93811477.0	93828148.0	p22.1	DR1	NM_001938
1	111659791.0	111682838.0	p13.3	DRAM2	NM_001349884
1	11751780.0	11780336.0	p36.22	DRAXIN	NM_198545
1	23832919.0	23857712.0	p36.12	E2F2	NM_004091
1	43629844.0	43638241.0	p34.2	EBNA1BP2	NM_001159936
1	21543739.0	21672034.0	p36.12	ECE1	NM_001113348
1	53361581.0	53387457.0	p32.3	ECHDC2	NM_001319958
1	41944445.0	41950354.0	p34.2	EDN2	NR_126098
1	47140830.0	47184736.0	p33	EFCAB14	NM_014774
1	47139707.0	47157769.0	p33	EFCAB14-AS1	NR_038827
1	63988971.0	64038364.0	p31.3	EFCAB7	NM_032437
1	15736390.0	15756839.0	p36.21	EFHD2	NM_024329
1	45316193.0	45452394.0	p34.1	EIF2B3	NM_001261418
1	32687184.0	32697205.0	p35.1	EIF3I	NM_003757
1	21132784.0	21503381.0	p36.12	EIF4G3	NM_001198802
1	50513685.0	50669457.0	p33	ELAVL4	NM_001144777
1	24069855.0	24088549.0	p36.11	ELOA	NM_003198
1	24086871.0	24104787.0	p36.11	ELOA-AS1	NR_038280
1	43829067.0	43833745.0	p34.2	ELOVL1	NM_022821
1	19542157.0	19578053.0	p36.13	EMC1	NM_015047
1	8921060.0	8938745.0	p36.23	ENO1	NM_001353346
1	8938893.0	8939943.0	p36.23	ENO1-AS1	NR_038351
1	29213602.0	29446558.0	p35.3	EPB41	NM_001166007
1	38181645.0	38230824.0	p34.3	EPHA10	NM_001099439
1	16450831.0	16482604.0	p36.13	EPHA2	NM_004431
1	22889994.0	22930087.0	p36.12	EPHA8	NM_020526
1	23037330.0	23247993.0	p36.12	EPHB2	NM_001309193
1	92495532.0	92529093.0	p22.1	EPHX4	NM_173567
1	51819934.0	51984995.0	p32.3	EPS15	NM_001981
1	110292701.0	110306644.0	p13.3	EPS8L3	NM_001319952
1	44686741.0	44820951.0	p34.1	ERI3	NM_001301700
1	44688266.0	44709955.0	p34.1	ERI3-IT1	NR_110056
1	75033794.0	75139422.0	p31.1	ERICH3	NM_001002912
1	75043113.0	75091782.0	p31.1	ERICH3-AS1	NR_121671
1	43282775.0	43310660.0	p34.2	ERMAP	NM_001017922
1	8071778.0	8086393.0	p36.23	ERRFI1	NM_018948
1	6484847.0	6521004.0	p36.31	ESPN	NM_031475
1	17017712.0	17046652.0	p36.13	ESPNP	NR_026567
1	36787630.0	36789755.0	p34.3	EVA1B	NM_018166
1	92974252.0	93257961.0	p22.1	EVI5	NM_001308248
1	40974390.0	40981722.0	p34.2	EXO5	NM_022774
1	11126669.0	11159967.0	p36.22	EXOSC10	NM_002685
1	26348270.0	26362954.0	p36.11	EXTL1	NM_004455
1	101337927.0	101360735.0	p21.2	EXTL2	NR_048570
1	28296854.0	28415148.0	p35.3	EYA3	NM_001282562
1	94994731.0	95007413.0	p21.3	F3	NM_001178096
1	46859938.0	46879520.0	p33	FAAH	NM_001441
1	46899498.0	46911374.0	p33	FAAHP1	NR_045483
1	31838099.0	31846135.0	p35.2	FABP3	NM_001320996
1	50906934.0	51425936.0	p32.3	FAF1	NM_007051
1	109102970.0	109181949.0	p13.3	FAM102B	NM_001010883
1	26485510.0	26489119.0	p36.11	FAM110D	NM_024869
1	16384263.0	16400127.0	p36.13	FAM131C	NM_182623
1	55074849.0	55089200.0	p32.3	FAM151A	NM_176782
1	32712817.0	32714461.0	p35.1	FAM167B	NM_032648
1	43613593.0	43622067.0	p34.2	FAM183A	NM_001101376
1	113263188.0	113269856.0	p13.2	FAM19A3	NM_182759
1	112264685.0	112298419.0	p13.2	FAM212B	NM_198926
1	112282462.0	112290420.0	p13.2	FAM212B-AS1	NR_038951
1	32826870.0	32827844.0	p35.1	FAM229A	NM_001167676
1	16999497.0	17000007.0	p36.13	FAM231A	NM_001354554
1	16999497.0	17000152.0	p36.13	FAM231C	NM_001310138
1	20878931.0	20881513.0	p36.12	FAM43B	NM_207334
1	27331510.0	27339333.0	p36.11	FAM46B	NM_052943
1	118148603.0	118171011.0	p12	FAM46C	NM_017709
1	93298285.0	93427079.0	p22.1	FAM69A	NM_001252273
1	28052489.0	28089423.0	p35.3	FAM76A	NM_152660
1	16083153.0	16113089.0	p36.21	FBLIM1	NM_001350151
1	11708417.0	11714888.0	p36.22	FBXO2	NM_012168
1	16573334.0	16678986.0	p36.13	FBXO42	NM_018994
1	11714431.0	11723384.0	p36.22	FBXO44	NM_001304791
1	11724149.0	11734409.0	p36.22	FBXO6	NM_018438
1	27695600.0	27701343.0	p36.11	FCN3	NM_003665
1	59762309.0	60228402.0	p32.1	FGGY	NM_001350798
1	27938800.0	27961727.0	p36.11	FGR	NM_005248
1	15573720.0	15724623.0	p36.21	FHAD1	NM_052929
1	38462441.0	38471187.0	p34.3	FHL3	NM_001243878
1	16160709.0	16174642.0	p36.21	FLJ37453	NR_024279
1	93913687.0	94020218.0	p22.1	FNBP1L	NM_001024948
1	33327868.0	33338093.0	p35.1	FNDC5	NM_001171941
1	109255555.0	109285367.0	p13.3	FNDC7	NM_001144937
1	47901688.0	47906363.0	p33	FOXD2	NM_004474
1	47897806.0	47900313.0	p33	FOXD2-AS1	NR_026878
1	63788729.0	63790797.0	p31.3	FOXD3	NM_012183
1	63786554.0	63790112.0	p31.3	FOXD3-AS1	NR_121637
1	47881743.0	47883724.0	p33	FOXE3	NM_012186
1	42642209.0	42801548.0	p34.2	FOXJ3	NM_001198850
1	41827602.0	41849263.0	p34.2	FOXO6	NM_001291281
1	74663895.0	74674386.0	p31.1	FPGT	NM_001199328
1	74663895.0	75010116.0	p31.1	FPGT-TNNI3K	NM_001112808
1	100174258.0	100231349.0	p21.2	FRRS1	NM_001013660
1	78409735.0	78444889.0	p31.1	FUBP1	NR_146540
1	24171571.0	24194859.0	p36.11	FUCA1	NM_000147
1	57184476.0	57285369.0	p32.2	FYB2	NM_001004303
1	68150859.0	68154021.0	p31.3	GADD45A	NM_001199742
1	24122088.0	24127294.0	p36.11	GALE	NM_001008216
1	89517986.0	89531043.0	p22.2	GBP1	NM_002053
1	89873237.0	89890493.0	p22.2	GBP1P1	NR_003133
1	89571815.0	89591842.0	p22.2	GBP2	NM_004120
1	89472359.0	89488549.0	p22.2	GBP3	NR_135007
1	89646830.0	89664633.0	p22.2	GBP4	NM_052941
1	89724633.0	89738544.0	p22.2	GBP5	NM_052942
1	89829435.0	89853719.0	p22.2	GBP6	NM_001320257
1	89597433.0	89641723.0	p22.2	GBP7	NM_207398
1	94350755.0	94375154.0	p22.1	GCLM	NM_002061
1	118406106.0	118472302.0	p12	GDAP2	NM_017686
1	90458823.0	90460525.0	p22.2	GEMIN8P4	NR_002830
1	92938601.0	92952433.0	p22.1	GFI1	NM_005263
1	78510645.0	78604133.0	p31.1	GIPC2	NM_001304725
1	35258598.0	35261348.0	p34.3	GJA4	NM_002060
1	39339738.0	39347298.0	p34.3	GJA9	NM_030772
1	39328161.0	39347298.0	p34.3	GJA9-MYCBP	NR_037633
1	35246789.0	35251965.0	p34.3	GJB3	NM_024009
1	35225341.0	35229325.0	p34.3	GJB4	NM_153212
1	35220647.0	35224113.0	p34.3	GJB5	NM_005268
1	53971905.0	54199877.0	p32.3	GLIS1	NM_147193
1	92711954.0	92764566.0	p22.1	GLMN	NR_135089
1	28995239.0	29042115.0	p35.3	GMEB1	NM_001319674
1	110091185.0	110138454.0	p13.3	GNAI3	NM_006496
1	110145888.0	110155705.0	p13.3	GNAT2	NM_005272
1	68167148.0	68299155.0	p31.3	GNG12	NM_018841
1	68297970.0	68668670.0	p31.3	GNG12-AS1	NR_040077
1	84964005.0	84972262.0	p22.3	GNG5	NM_005274
1	38032412.0	38061586.0	p34.3	GNL2	NM_001323623
1	27216978.0	27226962.0	p36.11	GPATCH3	NM_022078
1	46092975.0	46152302.0	p34.1	GPBP1L1	NM_021639
1	27205872.0	27216869.0	p36.11	GPN2	NM_018066
1	6307405.0	6321035.0	p36.31	GPR153	NM_207370
1	9164475.0	9189229.0	p36.23	GPR157	NM_024980
1	27719147.0	27722317.0	p36.11	GPR3	NM_005281
1	110082493.0	110088455.0	p13.3	GPR61	NM_031936
1	101003727.0	101007583.0	p21.2	GPR88	NM_022049
1	109419602.0	109476957.0	p13.3	GPSM2	NM_001321039
1	53068042.0	53074723.0	p32.3	GPX7	NM_015696
1	24645811.0	24690970.0	p36.11	GRHL3	NM_198174
1	37261127.0	37499844.0	p34.3	GRIK3	NM_000831
1	110230417.0	110236367.0	p13.3	GSTM1	NM_146421
1	110210643.0	110226619.0	p13.3	GSTM2	NM_001142368
1	110276553.0	110283660.0	p13.3	GSTM3	NR_024537
1	110198697.0	110208123.0	p13.3	GSTM4	NM_147148
1	110254863.0	110260890.0	p13.3	GSTM5	NM_000851
1	89318320.0	89357301.0	p22.2	GTF2B	NM_001514
1	42628361.0	42630395.0	p34.2	GUCA2A	NM_033553
1	42619091.0	42621495.0	p34.2	GUCA2B	NM_007102
1	9294862.0	9331394.0	p36.22	H6PD	NM_004285
1	119911398.0	119936753.0	p12	HAO2	NM_016527
1	119911568.0	119912953.0	p12	HAO2-IT1	NR_046780
1	32083300.0	32092919.0	p35.2	HCRTR1	NM_001525
1	32757707.0	32799224.0	p35.1	HDAC1	NM_004964
1	45468219.0	45477027.0	p34.1	HECTD3	NM_024602
1	109190909.0	109204148.0	p13.3	HENMT1	NM_144584
1	6475293.0	6479979.0	p36.31	HES2	NM_019089
1	6304251.0	6305638.0	p36.31	HES3	NM_001024598
1	40089102.0	40105348.0	p34.3	HEYL	NM_014571
1	91726322.0	91870426.0	p22.2	HFM1	NM_001017975
1	70820492.0	70833705.0	p31.1	HHLA3	NR_027404
1	114471995.0	114520491.0	p13.2	HIPK1	NM_198268
1	114466622.0	114472147.0	p13.2	HIPK1-AS1	NR_110726
1	41972035.0	42384378.0	p34.2	HIVEP3	NM_024503
1	34326075.0	34330392.0	p35.1	HMGB4	NM_145205
1	24128366.0	24151949.0	p36.11	HMGCL	NM_001166059
1	120290618.0	120311555.0	p12	HMGCS2	NM_005518
1	26798901.0	26803133.0	p36.11	HMGN2	NM_005517
1	12907229.0	12908609.0	p36.21	HNRNPCL1	NM_001013631
1	13182959.0	13184326.0	p36.21	HNRNPCL2	NM_001136561
1	12907229.0	12908235.0	p36.21	HNRNPCL3	NM_001146181
1	12907229.0	12908157.0	p36.21	HNRNPCL4	NM_001302551
1	23631180.0	23670857.0	p36.12	HNRNPR	NM_001297622
1	60280532.0	60342050.0	p32.1	HOOK1	NM_015888
1	21069170.0	21113181.0	p36.12	HP1BP3	NM_016287
1	33352097.0	33360247.0	p35.1	HPCA	NM_002143
1	40144319.0	40157382.0	p34.2	HPCAL4	NM_016257
1	45792544.0	45794346.0	p34.1	HPDL	NM_032756
1	87380334.0	87575681.0	p22.3	HS2ST1	NM_012262
1	120049825.0	120057681.0	p12	HSD3B1	NM_001328615
1	119957553.0	119965662.0	p12	HSD3B2	NM_001166120
1	120106502.0	120115199.0	p12	HSD3BP4	NR_033781
1	59597607.0	59612479.0	p32.1	HSD52	NR_027120
1	54387233.0	54411981.0	p32.3	HSPB11	NM_001316935
1	16340522.0	16346089.0	p36.13	HSPB7	NM_001349682
